Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct
2026-03-31 00:00:00.000000000,Near Prime Medium,DebtSaleGain,0.0,30628.8,30628.8,inf
2026-03-31 00:00:00.000000000,Near Prime Medium,GrossImpairment,-777000.2297307685,-97395.26999999999,679604.9597307685,-87.46521992229685
2026-03-31 00:00:00.000000000,Near Prime Medium,NetImpairment,-777000.2297307685,-128024.03999999998,648976.1897307686,-83.52329444685486
2026-03-31 00:00:00.000000000,Near Prime Medium,Revenue,1526723.2139127299,1605959.81,79236.59608727018,5.189977814262758
2026-03-31 00:00:00.000000000,Near Prime Small,ClosingGBV,33800001.20074325,31162155.08,-2637846.1207432523,-7.804278186490854
2026-03-31 00:00:00.000000000,Near Prime Small,ClosingNBV,28799099.770466283,28962066.61,162966.83953371644,0.5658747698108257
2026-03-31 00:00:00.000000000,Near Prime Small,Collections,2161048.743788064,2670528.8899999997,509480.1462119357,23.57559715746518
2026-03-31 00:00:00.000000000,Near Prime Small,DebtSaleGain,0.0,11088.03,11088.03,inf
2026-03-31 00:00:00.000000000,Near Prime Small,GrossImpairment,-299817.8499207186,128714.45999999999,428532.30992071854,-142.93088621442527
2026-03-31 00:00:00.000000000,Near Prime Small,NetImpairment,-299817.8499207186,117626.39,417444.2399207186,-139.23261741457495
2026-03-31 00:00:00.000000000,Near Prime Small,Revenue,603307.9166409238,653582.97,50275.05335907615,8.33323282727596
2026-03-31 00:00:00.000000000,Non Prime,ClosingGBV,90055478.15744105,83359839.64,-6695638.517441049,-7.435015231094866
2026-03-31 00:00:00.000000000,Non Prime,ClosingNBV,70940840.33592418,69563353.64,-1377486.6959241778,-1.9417400321188771
2026-03-31 00:00:00.000000000,Non Prime,Collections,7035775.229963386,9326891.05,2291115.8200366143,32.563800649563056
2026-03-31 00:00:00.000000000,Non Prime,DebtSaleGain,0.0,54300.89,54300.89,inf
2026-03-31 00:00:00.000000000,Non Prime,GrossImpairment,-1568927.4868663894,208314.12999999998,1777241.6168663893,-113.2774861645177
2026-03-31 00:00:00.000000000,Non Prime,NetImpairment,-1568927.4868663894,154013.23,1722940.7168663894,-109.81646578884343
2026-03-31 00:00:00.000000000,Non Prime,Revenue,2747161.695300162,2772346.78,25185.084699837957,0.9167674674164461
2026-03-31 00:00:00.000000000,Prime,ClosingGBV,2564337.8615747904,1530356.81,-1033981.0515747904,-40.32156086249144
2026-03-31 00:00:00.000000000,Prime,ClosingNBV,1956259.5514905904,1316319.37,-639940.1814905903,-32.71243741675187
2026-03-31 00:00:00.000000000,Prime,Collections,182291.79000725882,255311.99,73020.19999274117,40.05676832172942
2026-03-31 00:00:00.000000000,Prime,DebtSaleGain,0.0,2467.47,2467.47,inf
2026-03-31 00:00:00.000000000,Prime,GrossImpairment,-297.7493834439,-59096.14,-58798.3906165561,19747.611207945458
2026-03-31 00:00:00.000000000,Prime,NetImpairment,-297.7493834439,-61563.61,-61265.8606165561,20576.318213636005
2026-03-31 00:00:00.000000000,Prime,Revenue,22915.794877049408,18410.32,-4505.474877049408,-19.661001947445968
2026-03-31 00:00:00.000000000,Total,ClosingGBV,226515256.6557705,207247325.29,-19267931.36577052,-8.506239999123544
2026-03-31 00:00:00.000000000,Total,ClosingNBV,188794970.75609595,184963237.63,-3831733.1260959506,-2.029573727917866
2026-03-31 00:00:00.000000000,Total,Collections,13145481.141570542,17493772.36,4348291.218429457,33.078220352685776
2026-03-31 00:00:00.000000000,Total,DebtSaleGain,0.0,98485.19,98485.19,inf
2026-03-31 00:00:00.000000000,Total,GrossImpairment,-2646043.3159013204,180537.18,2826580.4959013206,-106.82291098241163
2026-03-31 00:00:00.000000000,Total,NetImpairment,-2646043.3159013204,82051.97000000004,2728095.2859013206,-103.10093071821278
2026-03-31 00:00:00.000000000,Total,Revenue,4900108.620730865,5050299.88,150191.25926913507,3.065059795485392
2026-04-30 00:00:00.000000000,Near Prime Medium,ClosingGBV,96882607.89989169,87725918.11,-9156689.78989169,-9.451324637496594
2026-04-30 00:00:00.000000000,Near Prime Medium,ClosingNBV,84038540.82141288,81177476.7,-2861064.1214128733,-3.404466680939655
2026-04-30 00:00:00.000000000,Near Prime Medium,Collections,3655517.444149149,4998730.4399999995,1343212.9958508504,36.74481154509972
2026-04-30 00:00:00.000000000,Near Prime Medium,DebtSaleGain,0.0,-0.0,-0.0,
2026-04-30 00:00:00.000000000,Near Prime Medium,GrossImpairment,-841067.3432215485,475545.74,1316613.0832215485,-156.54074478489588
2026-04-30 00:00:00.000000000,Near Prime Medium,NetImpairment,-841067.3432215485,475545.74,1316613.0832215485,-156.54074478489588
2026-04-30 00:00:00.000000000,Near Prime Medium,Revenue,1433609.1207626052,1530254.79,96645.66923739482,6.741423993311679
2026-04-30 00:00:00.000000000,Near Prime Small,ClosingGBV,32042329.576603536,29246383.74,-2795945.836603537,-8.725788273038248
